query,assessment_url
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-249
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-81
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-214
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-46
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-326
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-158
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-291
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-273
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-105
Senior software engineer with expertise in machine learning and Python,https://www.shl.com/solutions/products/assessment-238
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-290
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-122
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-338
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-170
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-2
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-346
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-178
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-10
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-226
Marketing manager with creative thinking and strategic planning skills,https://www.shl.com/solutions/products/assessment-58
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-281
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-113
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-302
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-134
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-337
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-169
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-1
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-344
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-176
Financial analyst requiring advanced numerical and analytical abilities,https://www.shl.com/solutions/products/assessment-8
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-314
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-146
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-209
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-265
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-97
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-321
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-153
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-290
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-122
Operations manager with process optimization and leadership capabilities,https://www.shl.com/solutions/products/assessment-241
UX designer position needing creativity and user research skills,https://www.shl.com/careers/
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-353
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-185
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-17
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-290
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-122
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-354
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-186
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-18
UX designer position needing creativity and user research skills,https://www.shl.com/solutions/products/assessment-346
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-241
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-73
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-353
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-185
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-17
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-297
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-325
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-157
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-213
Project manager role requiring organization and stakeholder management,https://www.shl.com/solutions/products/assessment-45
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-353
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-185
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-17
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-206
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-305
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-137
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-329
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-161
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-290
"Data engineer with SQL, ETL, and database management expertise",https://www.shl.com/solutions/products/assessment-122
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-290
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-122
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-346
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-178
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-10
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-250
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-82
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-218
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-50
Business analyst requiring analytical thinking and communication skills,https://www.shl.com/solutions/products/assessment-226
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-353
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-185
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-17
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-227
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-59
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-347
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-179
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-11
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-368
Quality assurance engineer with attention to detail and testing skills,https://www.shl.com/solutions/products/assessment-200
